track_name,track_id,preview_url,explicit,track_popularity,track_number,artist_name,artist_id,artist_genres,artist_popularity,artist_followers,album_name,release_date,total_tracks,album_type,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,valence,tempo,duration_ms,time_signature
Rasputin,5lWSa1rmuSL6OBPOnkAqoa,,False,71,3,Boney M.,54R6Y0I7jGUCveDTtI21nb,['disco'],72,2214856,Daddy Cool,1994-03-14,16,compilation,,,,,,,,,,,,
È Solo Una Pianta,0BQzYrXcosfsOVyjLnX82d,,False,26,2,Babaman,3iYwsCmyIpFw5GLKwL6V77,[],47,207040,Soul Food,2018-08-17,12,album,,,,,,,,,,,,
When The Darkness Comes,6b1z0YOAobJHJNUXGml6i5,,False,64,3,Jeris Johnson,2hmePXeTr2b7cdRAtRjvPq,[],61,282447,Dragonborn,2024-08-23,13,album,,,,,,,,,,,,
Gimme That Boom,5aZ9mfnT8jp3ZdrMQaF76j,,False,66,2,Skindred,3jTlKw98Ql1jGRPYqhqHap,"['nu metal', 'rap metal']",57,618043,Smile,2023-08-04,12,album,,,,,,,,,,,,
Low (feat. T-Pain),0CAfXk7DXMnon4gLudAp7J,,False,86,5,Flo Rida,0jnsk9HBra6NMjO2oANoPY,[],82,8937716,Mail on Sunday,2008-03-17,14,album,,,,,,,,,,,,
Who Can It Be Now?,5BCykgPXc7zEBg2oU0klvy,,False,63,1,Men At Work,0f3EsoviYnRKTkmayI3cux,[],70,1482071,Business As Usual,1981,14,album,,,,,,,,,,,,
Money For Nothing - Remastered 1996,4nFNJmjfgBF7jwv2oBC45b,,True,78,2,Dire Straits,0WwSkZ7LtFUFjGjMZBMt6T,['classic rock'],80,8456380,Brothers In Arms (Remastered 1996),1985-05-13,9,album,,,,,,,,,,,,
Long Train Runnin',4nXkbcTj3nyww1cHkw5RAP,,False,80,2,The Doobie Brothers,39T6qqI0jDtSWWioX8eGJz,"['classic rock', 'soft rock', 'southern rock']",73,2734649,The Captain and Me,1973,11,album,,,,,,,,,,,,
Englishman In New York,4KFM3A5QF2IMcc6nHsu3Wp,,False,76,3,Sting,0Ty63ceoRnnJKVEYP0VQpk,['soft rock'],74,3707448,...Nothing Like The Sun,1987-10-16,12,album,,,,,,,,,,,,
"VIAGGIO CONTRO LA PAURA ࿓ (con Joan Thiele, Gemitaiz)",3WqhmoLZxee3fAltVPGXgK,,False,50,1,MACE,7gjqZ8coFZimZDtdk04WP1,['italian trap'],63,173742,MĀYĀ,2024-07-05,31,album,,,,,,,,,,,,
Everyday Normal Guy,2KldK81uQyPpbJLwEekaLQ,,True,56,1,Jon Lajoie,0ru4hXR4RJY1mikvbQKgWa,['comedy'],57,217980,You Want Some of This?,2009-03-18,17,album,,,,,,,,,,,,
