track_name,track_id,preview_url,explicit,track_popularity,track_number,artist_name,artist_id,artist_genres,artist_popularity,artist_followers,album_name,release_date,total_tracks,album_type,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,valence,tempo,duration_ms,time_signature
Rasputin,5lWSa1rmuSL6OBPOnkAqoa,,FALSE,71,3,Boney M.,54R6Y0I7jGUCveDTtI21nb,['disco'],72,2214856,Daddy Cool,14/03/1994,16,compilation,,,,,,,,,,,,
È Solo Una Pianta,0BQzYrXcosfsOVyjLnX82d,,FALSE,26,2,Babaman,3iYwsCmyIpFw5GLKwL6V77,[],47,207040,Soul Food,17/08/2018,12,album,,,,,,,,,,,,
When The Darkness Comes,6b1z0YOAobJHJNUXGml6i5,,FALSE,64,3,Jeris Johnson,2hmePXeTr2b7cdRAtRjvPq,[],61,282447,Dragonborn,23/08/2024,13,album,,,,,,,,,,,,
Gimme That Boom,5aZ9mfnT8jp3ZdrMQaF76j,,FALSE,66,2,Skindred,3jTlKw98Ql1jGRPYqhqHap,"['nu metal', 'rap metal']",57,618043,Smile,04/08/2023,12,album,,,,,,,,,,,,
Low (feat. T-Pain),0CAfXk7DXMnon4gLudAp7J,,FALSE,86,5,Flo Rida,0jnsk9HBra6NMjO2oANoPY,[],82,8937716,Mail on Sunday,17/03/2008,14,album,,,,,,,,,,,,
Who Can It Be Now?,5BCykgPXc7zEBg2oU0klvy,,FALSE,63,1,Men At Work,0f3EsoviYnRKTkmayI3cux,[],70,1482071,Business As Usual,1981,14,album,,,,,,,,,,,,
Money For Nothing - Remastered 1996,4nFNJmjfgBF7jwv2oBC45b,,TRUE,78,2,Dire Straits,0WwSkZ7LtFUFjGjMZBMt6T,['classic rock'],80,8456380,Brothers In Arms (Remastered 1996),13/05/1985,9,album,,,,,,,,,,,,
Long Train Runnin',4nXkbcTj3nyww1cHkw5RAP,,FALSE,80,2,The Doobie Brothers,39T6qqI0jDtSWWioX8eGJz,"['classic rock', 'soft rock', 'southern rock']",73,2734649,The Captain and Me,1973,11,album,,,,,,,,,,,,
Englishman In New York,4KFM3A5QF2IMcc6nHsu3Wp,,FALSE,76,3,Sting,0Ty63ceoRnnJKVEYP0VQpk,['soft rock'],74,3707448,...Nothing Like The Sun,16/10/1987,12,album,,,,,,,,,,,,
"VIAGGIO CONTRO LA PAURA ࿓ (con Joan Thiele, Gemitaiz)",3WqhmoLZxee3fAltVPGXgK,,FALSE,50,1,MACE,7gjqZ8coFZimZDtdk04WP1,['italian trap'],63,173742,MĀYĀ,05/07/2024,31,album,,,,,,,,,,,,
